symbol,date,open,high,low,close,volume
ADBE,2024-07-01,551.37,561.21,549.73,560.01,3070159
ADBE,2024-07-02,560.0,570.14,560.0,567.71,3054491
ADBE,2024-07-03,564.292,571.83,564.0001,570.15,1664373
ADBE,2024-07-05,570.91,580.55,568.92,578.34,2808635
ADBE,2024-07-08,573.18,576.745,563.92,575.4,3007422
ADBE,2024-07-09,573.05,575.01,562.46,566.02,2169020
ADBE,2024-07-10,564.71,566.93,558.21,564.55,2368443
ADBE,2024-07-11,564.0,572.62,557.09,557.63,3191358
ADBE,2024-07-12,555.1,562.49,552.315,559.05,2013985
ADBE,2024-07-15,560.23,568.23,560.23,565.71,1887763
ADBE,2024-07-16,564.6,570.1,562.08,566.54,1539875
ADBE,2024-07-17,563.93,565.0,556.46,563.09,2316265
ADBE,2024-07-18,564.18,564.26,556.07,556.85,2184657
ADBE,2024-07-19,557.05,561.09,548.96,551.0,2601942
ADBE,2024-07-22,558.65,560.19,552.7074,554.82,2391696
ADBE,2024-07-23,556.49,557.249,544.44,546.01,2363881
ADBE,2024-07-24,543.8,544.71,530.35,531.04,2630081
ADBE,2024-07-25,536.8,542.28,527.59,532.15,2136496
ADBE,2024-07-26,535.35,545.4999,533.33,542.44,2090007
ADBE,2024-07-29,544.3,544.3,535.19,536.61,1590551
ADBE,2024-07-30,541.85,543.67,530.9501,538.71,1566875
ADBE,2024-07-31,547.05,555.55,543.77,551.65,2776002
ADBE,2024-08-01,549.99,561.98,540.24,546.41,2075410
ADBE,2024-08-02,535.78,536.84,519.68,526.17,2729113
ADBE,2024-08-05,504.23,515.9,500.0,509.32,3432155
ADBE,2024-08-06,513.69,519.16,509.01,514.2,2076327
ADBE,2024-08-07,520.95,531.005,512.86,513.62,1663682
ADBE,2024-08-08,520.59,531.07,519.56,530.24,2155115
ADBE,2024-08-09,528.02,537.28,528.02,536.3,1272635
ADBE,2024-08-12,536.04,538.08,525.77,530.93,1450410
ADBE,2024-08-13,530.93,537.72,527.9,535.22,3063918
ADBE,2024-08-14,536.62,542.9205,533.2,539.79,1915589
ADBE,2024-08-15,545.19,557.22,545.01,554.16,2182382
ADBE,2024-08-16,552.35,554.76,547.8,553.46,1541726
ADBE,2024-08-19,550.59,563.77,550.59,563.12,1423293
ADBE,2024-08-20,564.48,568.18,559.61,562.25,1219609
ADBE,2024-08-21,562.13,566.6,557.91,565.79,1401708
ADBE,2024-08-22,567.07,572.0,555.65,557.44,1627658
ADBE,2024-08-23,565.45,566.52,552.5,558.3,2023465
ADBE,2024-08-26,555.03,560.26,555.03,559.44,1387479
ADBE,2024-08-27,554.4,569.52,554.3439,567.82,1404415
ADBE,2024-08-28,568.22,569.59,557.67,560.54,1289699
ADBE,2024-08-29,567.05,578.4,567.05,569.63,1955588
ADBE,2024-08-30,572.2,575.65,568.2865,574.41,1982970
ADBE,2024-09-03,576.3,586.695,566.79,571.04,2757929
ADBE,2024-09-04,568.87,578.86,565.76,575.25,1615787
ADBE,2024-09-05,570.75,573.39,562.53,567.93,1573571
ADBE,2024-09-06,570.9,573.31,558.0,563.41,2096790
ADBE,2024-09-09,567.69,574.57,564.44,569.88,1997121
ADBE,2024-09-10,576.75,577.8,567.14,574.48,2030076
ADBE,2024-09-11,573.01,581.24,559.35,580.38,2680977
ADBE,2024-09-12,581.445,587.75,572.98,586.55,5605338
ADBE,2024-09-13,532.565,540.27,526.6,536.87,10423510
ADBE,2024-09-16,537.4,537.69,521.26,521.5,5248205
ADBE,2024-09-17,524.29,527.0999,514.58,515.03,5164089
ADBE,2024-09-18,517.01,517.58,506.4901,508.13,3997267
ADBE,2024-09-19,518.81,527.48,518.02,526.44,3582532
ADBE,2024-09-20,526.44,528.625,515.72,522.3,6100685
ADBE,2024-09-23,525.71,532.0,524.955,527.87,2106995
ADBE,2024-09-24,527.72,530.2999,521.71,524.07,2842054
ADBE,2024-09-25,526.02,526.18,516.24,517.9,3211612
ADBE,2024-09-26,520.51,521.355,512.11,515.38,3282437
ADBE,2024-09-27,516.52,516.6799,512.3,515.48,2718323
ADBE,2024-09-30,513.83,518.47,511.74,517.78,2588151
ADBE,2024-10-01,517.45,519.0,502.5,502.8,3730026
ADBE,2024-10-02,503.87,510.19,502.8201,505.81,1981848
ADBE,2024-10-03,501.02,509.81,498.59,503.8,1921604
ADBE,2024-10-04,507.29,508.56,503.5901,507.22,1949994
ADBE,2024-10-07,503.96,504.87,486.4,487.3,4870534
ADBE,2024-10-08,492.45,500.0,486.4,496.24,3551609
ADBE,2024-10-09,495.88,495.88,492.32,494.08,2869417
ADBE,2024-10-10,490.54,506.45,489.35,503.57,2775102
ADBE,2024-10-11,504.78,507.9799,494.9,495.42,2992409
ADBE,2024-10-14,501.8,514.26,500.41,509.65,3411497
ADBE,2024-10-15,513.82,517.772,506.8,508.03,3605675
ADBE,2024-10-16,506.39,506.84,500.25,502.54,1859116
ADBE,2024-10-17,506.51,507.5,495.23,496.83,2769241
ADBE,2024-10-18,491.29,499.0,491.0501,494.9,2011121
ADBE,2024-10-21,494.6,500.6499,492.96,497.71,1679657
ADBE,2024-10-22,496.43,497.34,488.36,493.11,2388721
ADBE,2024-10-23,492.0,493.83,483.391,485.03,2021316
ADBE,2024-10-24,486.63,488.47,480.06,482.87,2100308
ADBE,2024-10-25,483.42,488.34,482.52,483.72,2426769
ADBE,2024-10-28,487.65,488.49,480.48,481.04,2302255
ADBE,2024-10-29,481.92,487.56,479.33,485.39,2089505
ADBE,2024-10-30,482.24,492.2,482.24,486.68,2728573
ADBE,2024-10-31,486.0,486.05,477.38,478.08,2978688
ADBE,2024-11-01,475.41,485.16,475.05,482.8,2852008
ADBE,2024-11-04,479.03,483.76,477.37,481.35,1955249
ADBE,2024-11-05,483.09,486.659,480.47,486.42,1588149
ADBE,2024-11-06,492.93,506.21,492.93,504.83,2969855
ADBE,2024-11-07,510.655,510.655,495.3,500.92,2640295
ADBE,2024-11-08,503.83,505.0,493.69,494.68,2856859
ADBE,2024-11-11,493.6,507.72,493.6,504.48,3536599
ADBE,2024-11-12,504.39,528.91,504.27,526.42,4125288
ADBE,2024-11-13,523.79,539.92,520.59,532.5,3470174
ADBE,2024-11-14,530.55,534.6399,523.46,529.87,3098800
ADBE,2024-11-15,520.3,524.4999,498.81,503.37,4612417
ADBE,2024-11-18,505.0,505.51,497.69,499.51,2259651
ADBE,2024-11-19,496.0,502.41,495.46,499.61,1961731
ADBE,2024-11-20,505.41,506.36,494.61,499.5,1874910
ADBE,2024-11-21,502.1,508.57,493.1,504.44,2002094
ADBE,2024-11-22,502.5,513.37,502.5,512.15,2287614
ADBE,2024-11-25,519.09,523.2099,513.1935,518.73,3319992
ADBE,2024-11-26,519.95,525.76,516.3601,525.3,2415735
ADBE,2024-11-27,523.21,525.88,508.7161,513.68,2324217
ADBE,2024-11-29,517.65,517.65,513.58,515.93,1450247
ADBE,2024-12-02,512.85,518.77,511.53,516.2,2007213
