symbol,date,open,high,low,close,volume
META,2024-07-01,504.95,506.58,493.17,504.68,10328150
META,2024-07-02,500.76,510.5,499.45,509.5,7739479
META,2024-07-03,506.37,511.28,506.02,509.96,6005615
META,2024-07-05,511.6,540.87,511.6,539.91,21354090
META,2024-07-08,542.35,542.81,526.65,529.32,14917500
META,2024-07-09,533.75,537.48,528.1901,530.0,8769088
META,2024-07-10,530.79,538.88,528.36,534.69,10983280
META,2024-07-11,530.89,535.46,508.3733,512.7,16458250
META,2024-07-12,497.755,508.09,494.23,498.87,19750540
META,2024-07-15,498.63,506.6799,493.37,496.16,12539160
META,2024-07-16,501.5,503.9499,485.79,489.79,14075830
META,2024-07-17,479.17,479.17,459.12,461.99,28076600
META,2024-07-18,475.0,479.2393,464.54,475.85,19267160
META,2024-07-19,476.06,486.71,475.71,476.79,15149420
META,2024-07-22,486.575,492.06,483.9,487.4,12023090
META,2024-07-23,489.84,495.22,487.72,488.69,9455527
META,2024-07-24,472.305,476.3,460.58,461.27,17649740
META,2024-07-25,463.26,463.548,442.65,453.41,18240490
META,2024-07-26,464.195,469.77,459.42,465.7,14222390
META,2024-07-29,469.88,473.96,465.02,465.71,11339630
META,2024-07-30,467.0,472.73,456.7,463.19,11390440
META,2024-07-31,471.02,476.5,466.75,474.83,24285780
META,2024-08-01,521.0,527.1709,492.1,497.74,43083080
META,2024-08-02,489.0,501.145,476.15,488.14,24044660
META,2024-08-05,451.345,483.48,450.8,475.73,21396190
META,2024-08-06,479.0,502.56,478.65,494.09,20954960
META,2024-08-07,503.13,510.15,486.86,488.92,20105310
META,2024-08-08,497.5,509.96,494.72,509.63,16156840
META,2024-08-09,507.71,518.34,505.7,517.77,13696640
META,2024-08-12,516.86,518.02,509.1,515.95,9767422
META,2024-08-13,520.01,531.4999,518.15,528.54,13743840
META,2024-08-14,528.06,534.0,523.13,526.76,11444190
META,2024-08-15,531.79,539.77,526.7,537.33,13482140
META,2024-08-16,531.9,533.66,524.66,527.42,14776680
META,2024-08-19,526.87,531.66,522.76,529.28,9879713
META,2024-08-20,528.35,531.09,525.88,526.73,7944391
META,2024-08-21,527.15,539.4,526.935,535.16,13423290
META,2024-08-22,537.0,544.23,528.59,531.93,15708290
META,2024-08-23,536.92,539.87,525.06,528.0,11323940
META,2024-08-26,527.6,528.0,514.95,521.12,9584002
META,2024-08-27,518.98,524.01,515.31,519.1,6282720
META,2024-08-28,517.675,521.085,512.45,516.78,9106077
META,2024-08-29,519.05,527.2,515.6789,518.22,8317424
META,2024-08-30,521.35,523.54,515.2,521.31,9157541
META,2024-09-03,519.64,525.49,508.6176,511.76,12459110
META,2024-09-04,506.07,516.59,504.07,512.74,8335207
META,2024-09-05,511.72,521.6295,511.15,516.86,8640888
META,2024-09-06,521.88,524.5849,498.25,500.27,14744520
META,2024-09-09,506.16,511.33,502.08,504.79,11047830
META,2024-09-10,508.16,514.18,500.0278,504.79,9899022
META,2024-09-11,507.01,513.12,495.6,511.83,10782530
META,2024-09-12,517.05,526.71,515.22,525.6,11993340
META,2024-09-13,520.34,527.581,517.11,524.62,10321420
META,2024-09-16,524.54,534.1,517.4,533.28,9527646
META,2024-09-17,537.6,542.1,530.57,536.315,11690780
META,2024-09-18,537.065,544.2,533.9026,537.95,10323540
META,2024-09-19,550.0,562.07,546.52,559.1,15646950
META,2024-09-20,560.0,564.5,556.3001,561.35,22066820
META,2024-09-23,569.5,573.9799,562.41,564.41,12830670
META,2024-09-24,566.68,567.745,554.19,563.33,12992960
META,2024-09-25,564.05,576.88,563.72,568.31,16543350
META,2024-09-26,575.73,577.4,562.3501,567.84,14400790
META,2024-09-27,570.1,570.8399,564.51,567.36,9398367
META,2024-09-30,567.7,574.68,564.8,572.44,12807210
META,2024-10-01,577.98,583.04,570.1,576.47,15259270
META,2024-10-02,574.86,576.0,569.34,572.81,6524650
META,2024-10-03,570.15,583.36,568.73,582.77,11580980
META,2024-10-04,583.73,596.85,581.43,595.94,14199790
META,2024-10-07,598.22,602.95,584.04,584.78,12014200
META,2024-10-08,589.69,593.56,585.97,592.89,7857377
META,2024-10-09,593.99,594.39,581.61,590.51,9529707
META,2024-10-10,587.57,590.23,582.52,583.83,7740449
META,2024-10-11,584.83,591.21,582.71,589.95,8587051
META,2024-10-14,594.22,600.1,589.96,590.42,8251971
META,2024-10-15,590.16,590.61,580.143,586.27,9564236
META,2024-10-16,581.395,582.08,574.03,576.79,11268380
META,2024-10-17,583.33,584.97,575.2,576.93,8701158
META,2024-10-18,581.1,583.9675,575.25,576.47,7694274
META,2024-10-21,576.03,577.2399,569.11,575.16,8171879
META,2024-10-22,574.29,583.53,572.12,582.01,8544463
META,2024-10-23,579.97,585.0,562.5,563.69,14248420
META,2024-10-24,567.125,568.8799,561.52,567.78,7184651
META,2024-10-25,573.935,581.29,571.72,573.25,11337870
META,2024-10-28,582.0,583.7499,574.12,578.16,10925130
