symbol,date,open,high,low,close,volume
AAPL,2024-07-01,212.09,217.51,211.92,216.75,60402930
AAPL,2024-07-02,216.15,220.38,215.1,220.27,58046180
AAPL,2024-07-03,220.0,221.55,219.03,221.55,37369800
AAPL,2024-07-05,221.65,226.45,221.65,226.34,60412410
AAPL,2024-07-08,227.09,227.85,223.25,227.82,59085860
AAPL,2024-07-09,227.93,229.4,226.3721,228.68,48169820
AAPL,2024-07-10,229.3,233.08,229.25,232.98,62627690
AAPL,2024-07-11,231.39,232.39,225.77,227.57,64710620
AAPL,2024-07-12,228.92,232.64,228.68,230.54,53046530
AAPL,2024-07-15,236.48,237.23,233.09,234.4,62631250
AAPL,2024-07-16,235.0,236.27,232.33,234.82,43234280
AAPL,2024-07-17,229.45,231.4599,226.64,228.88,57345880
AAPL,2024-07-18,230.28,230.44,222.27,224.18,66034590
AAPL,2024-07-19,224.82,226.8,223.275,224.31,49151450
AAPL,2024-07-22,227.01,227.78,223.09,223.96,48201840
AAPL,2024-07-23,224.365,226.94,222.68,225.01,39960260
AAPL,2024-07-24,224.0,224.8,217.13,218.54,61777580
AAPL,2024-07-25,218.93,220.85,214.62,217.49,51391200
AAPL,2024-07-26,218.7,219.49,216.01,217.96,41601350
AAPL,2024-07-29,216.96,219.3,215.75,218.24,36311780
AAPL,2024-07-30,219.19,220.325,216.12,218.8,41643840
AAPL,2024-07-31,221.44,223.82,220.63,222.08,50036260
AAPL,2024-08-01,224.37,224.48,217.02,218.36,62501000
AAPL,2024-08-02,219.15,225.6,217.71,219.86,105568600
AAPL,2024-08-05,199.09,213.5,196.0,209.27,119548600
AAPL,2024-08-06,205.3,209.99,201.07,207.23,69660490
AAPL,2024-08-07,206.9,213.64,206.39,209.82,63516420
AAPL,2024-08-08,213.11,214.2,208.83,213.31,47161150
AAPL,2024-08-09,212.1,216.78,211.97,216.24,42201650
AAPL,2024-08-12,216.07,219.5099,215.6,217.53,38028090
AAPL,2024-08-13,219.01,221.89,219.01,221.27,44155330
AAPL,2024-08-14,220.57,223.03,219.7,221.72,41960570
AAPL,2024-08-15,224.6,225.35,222.76,224.72,46414010
AAPL,2024-08-16,223.92,226.8271,223.6501,226.05,44340240
AAPL,2024-08-19,225.72,225.99,223.04,225.89,40687810
AAPL,2024-08-20,225.77,227.17,225.45,226.51,30299030
AAPL,2024-08-21,226.52,227.98,225.05,226.4,34765480
AAPL,2024-08-22,227.79,228.34,223.9,224.53,43695320
AAPL,2024-08-23,225.659,228.22,224.33,226.84,38677250
AAPL,2024-08-26,226.76,227.28,223.8905,227.18,30602210
AAPL,2024-08-27,225.995,228.85,224.89,228.03,35934560
AAPL,2024-08-28,227.92,229.86,225.68,226.49,38052170
AAPL,2024-08-29,230.1,232.92,228.88,229.79,51906300
