symbol,date,open,high,low,close,volume
TSLA,2024-07-01,201.02,213.23,200.85,209.86,135691400
TSLA,2024-07-02,218.89,231.3,218.06,231.26,205047900
TSLA,2024-07-03,234.56,248.35,234.25,246.39,166561500
TSLA,2024-07-05,249.81,252.37,242.4601,251.52,154501200
TSLA,2024-07-08,247.71,259.439,244.57,252.94,157219600
TSLA,2024-07-09,251.0,265.61,250.3,262.33,160742500
TSLA,2024-07-10,262.8,267.59,257.86,263.26,128519400
TSLA,2024-07-11,263.3,271.0,239.65,241.03,221707300
TSLA,2024-07-12,235.8,251.84,233.0912,248.23,155955800
TSLA,2024-07-15,255.97,265.6,251.73,252.64,146912900
TSLA,2024-07-16,255.31,258.62,245.8001,256.56,126332500
TSLA,2024-07-17,252.73,258.47,246.182,248.5,115584800
TSLA,2024-07-18,251.09,257.14,247.2,249.23,110869000
TSLA,2024-07-19,247.79,249.44,236.83,239.2,87403900
TSLA,2024-07-22,244.21,253.21,243.75,251.51,101225400
TSLA,2024-07-23,253.6,255.7594,245.63,246.38,111928200
TSLA,2024-07-24,225.42,225.99,214.71,215.99,167942900
TSLA,2024-07-25,216.8,226.0,216.231,220.25,100636500
TSLA,2024-07-26,221.19,222.2799,215.33,219.8,94604150
TSLA,2024-07-29,224.9,234.27,224.7,232.1,129201800
TSLA,2024-07-30,232.25,232.41,220.0,222.62,100560300
TSLA,2024-07-31,227.9,234.68,226.7875,232.07,67497010
TSLA,2024-08-01,227.69,231.867,214.3328,216.86,83861900
TSLA,2024-08-02,214.88,216.13,205.78,207.67,82880120
TSLA,2024-08-05,185.22,203.8799,182.0,198.88,100308800
TSLA,2024-08-06,200.75,202.9,192.67,200.64,73783940
TSLA,2024-08-07,200.77,203.49,191.48,191.76,71159780
TSLA,2024-08-08,195.7,200.7,192.04,198.84,65033870
TSLA,2024-08-09,197.05,200.88,195.11,200.0,58648270
TSLA,2024-08-12,199.02,199.26,194.67,197.49,64044900
TSLA,2024-08-13,198.47,208.49,197.06,207.83,76247390
TSLA,2024-08-14,207.39,208.44,198.75,201.38,70250010
TSLA,2024-08-15,205.02,215.88,204.82,214.14,89848530
TSLA,2024-08-16,211.15,219.8,210.8,216.12,88765120
TSLA,2024-08-19,217.07,222.98,214.09,222.72,76435220
TSLA,2024-08-20,224.88,228.22,219.56,221.1,74001180
TSLA,2024-08-21,222.67,224.6594,218.86,223.27,70145960
TSLA,2024-08-22,223.82,224.8,210.32,210.66,79514480
TSLA,2024-08-23,214.455,221.48,214.21,220.32,81525210
TSLA,2024-08-26,218.75,219.09,211.01,213.21,59301190
TSLA,2024-08-27,213.25,215.66,206.94,209.21,62821390
TSLA,2024-08-28,209.72,211.84,202.59,205.75,64116350
TSLA,2024-08-29,209.8,214.89,205.97,206.28,62308820
TSLA,2024-08-30,208.63,214.5701,207.03,214.11,63370610
TSLA,2024-09-03,215.26,219.9043,209.64,210.6,76714220
TSLA,2024-09-04,210.59,222.22,210.57,219.41,80651770
TSLA,2024-09-05,223.49,235.0,222.25,230.17,119355000
TSLA,2024-09-06,232.6,233.6,210.51,210.73,112177000
TSLA,2024-09-09,216.2,219.87,213.67,216.27,67443520
TSLA,2024-09-10,220.07,226.4,218.6377,226.17,78891140
TSLA,2024-09-11,224.55,228.47,216.8003,228.13,83548630
TSLA,2024-09-12,224.66,231.45,223.83,229.81,72020040
TSLA,2024-09-13,228.0,232.67,226.32,230.29,59515110
TSLA,2024-09-16,229.3,229.96,223.53,226.78,54323000
TSLA,2024-09-17,229.45,234.57,226.5533,227.87,66761640
TSLA,2024-09-18,230.09,235.68,226.88,227.2,78010200
TSLA,2024-09-19,234.0,244.24,232.13,243.92,102694600
TSLA,2024-09-20,241.52,243.99,235.92,238.25,99879070
TSLA,2024-09-23,242.61,250.0,241.92,250.0,86927190
TSLA,2024-09-24,254.08,257.19,249.0501,254.27,88491000
TSLA,2024-09-25,252.54,257.05,252.28,257.02,65034320
TSLA,2024-09-26,260.6,261.75,251.53,254.22,67142190
TSLA,2024-09-27,257.375,260.6999,254.12,260.46,70988070
TSLA,2024-09-30,259.04,264.86,255.77,261.63,80873380
TSLA,2024-10-01,262.67,263.98,248.53,258.02,87397610
TSLA,2024-10-02,247.55,251.1585,241.5,249.02,93983930
